SA4_CODE16,Year
101,2011
102,2011
103,2011
104,2011
105,2011
106,2011
107,2011
108,2011
109,2011
110,2011
111,2011
112,2011
113,2011
114,2011
115,2011
116,2011
117,2011
118,2011
119,2011
120,2011
121,2011
122,2011
123,2011
124,2011
125,2011
126,2011
127,2011
128,2011
201,2011
202,2011
203,2011
204,2011
205,2011
206,2011
207,2011
208,2011
209,2011
210,2011
211,2011
212,2011
213,2011
214,2011
215,2011
216,2011
217,2011
301,2011
302,2011
303,2011
304,2011
305,2011
306,2011
307,2011
308,2011
309,2011
310,2011
311,2011
312,2011
313,2011
314,2011
315,2011
316,2011
317,2011
318,2011
319,2011
401,2011
402,2011
403,2011
404,2011
405,2011
406,2011
407,2011
501,2011
502,2011
503,2011
504,2011
505,2011
506,2011
507,2011
509,2011
510,2011
511,2011
601,2011
602,2011
603,2011
604,2011
701,2011
702,2011
801,2011
101,2012
102,2012
103,2012
104,2012
105,2012
106,2012
107,2012
108,2012
109,2012
110,2012
111,2012
112,2012
113,2012
114,2012
115,2012
116,2012
117,2012
118,2012
119,2012
120,2012
121,2012
122,2012
123,2012
124,2012
125,2012
126,2012
127,2012
128,2012
201,2012
202,2012
203,2012
204,2012
205,2012
206,2012
207,2012
208,2012
209,2012
210,2012
211,2012
212,2012
213,2012
214,2012
215,2012
216,2012
217,2012
301,2012
302,2012
303,2012
304,2012
305,2012
306,2012
307,2012
308,2012
309,2012
310,2012
311,2012
312,2012
313,2012
314,2012
315,2012
316,2012
317,2012
318,2012
319,2012
401,2012
402,2012
403,2012
404,2012
405,2012
406,2012
407,2012
501,2012
502,2012
503,2012
504,2012
505,2012
506,2012
507,2012
509,2012
510,2012
511,2012
601,2012
602,2012
603,2012
604,2012
701,2012
702,2012
801,2012
101,2013
102,2013
103,2013
104,2013
105,2013
106,2013
107,2013
108,2013
109,2013
110,2013
111,2013
112,2013
113,2013
114,2013
115,2013
116,2013
117,2013
118,2013
119,2013
120,2013
121,2013
122,2013
123,2013
124,2013
125,2013
126,2013
127,2013
128,2013
201,2013
202,2013
203,2013
204,2013
205,2013
206,2013
207,2013
208,2013
209,2013
210,2013
211,2013
212,2013
213,2013
214,2013
215,2013
216,2013
217,2013
301,2013
302,2013
303,2013
304,2013
305,2013
306,2013
307,2013
308,2013
309,2013
310,2013
311,2013
312,2013
313,2013
314,2013
315,2013
316,2013
317,2013
318,2013
319,2013
401,2013
402,2013
403,2013
404,2013
405,2013
406,2013
407,2013
501,2013
502,2013
503,2013
504,2013
505,2013
506,2013
507,2013
509,2013
510,2013
511,2013
601,2013
602,2013
603,2013
604,2013
701,2013
702,2013
801,2013
101,2014
102,2014
103,2014
104,2014
105,2014
106,2014
107,2014
108,2014
109,2014
110,2014
111,2014
112,2014
113,2014
114,2014
115,2014
116,2014
117,2014
118,2014
119,2014
120,2014
121,2014
122,2014
123,2014
124,2014
125,2014
126,2014
127,2014
128,2014
201,2014
202,2014
203,2014
204,2014
205,2014
206,2014
207,2014
208,2014
209,2014
210,2014
211,2014
212,2014
213,2014
214,2014
215,2014
216,2014
217,2014
301,2014
302,2014
303,2014
304,2014
305,2014
306,2014
307,2014
308,2014
309,2014
310,2014
311,2014
312,2014
313,2014
314,2014
315,2014
316,2014
317,2014
318,2014
319,2014
401,2014
402,2014
403,2014
404,2014
405,2014
406,2014
407,2014
501,2014
502,2014
503,2014
504,2014
505,2014
506,2014
507,2014
509,2014
510,2014
511,2014
601,2014
602,2014
603,2014
604,2014
701,2014
702,2014
801,2014
101,2015
102,2015
103,2015
104,2015
105,2015
106,2015
107,2015
108,2015
109,2015
110,2015
111,2015
112,2015
113,2015
114,2015
115,2015
116,2015
117,2015
118,2015
119,2015
120,2015
121,2015
122,2015
123,2015
124,2015
125,2015
126,2015
127,2015
128,2015
201,2015
202,2015
203,2015
204,2015
205,2015
206,2015
207,2015
208,2015
209,2015
210,2015
211,2015
212,2015
213,2015
214,2015
215,2015
216,2015
217,2015
301,2015
302,2015
303,2015
304,2015
305,2015
306,2015
307,2015
308,2015
309,2015
310,2015
311,2015
312,2015
313,2015
314,2015
315,2015
316,2015
317,2015
318,2015
319,2015
401,2015
402,2015
403,2015
404,2015
405,2015
406,2015
407,2015
501,2015
502,2015
503,2015
504,2015
505,2015
506,2015
507,2015
509,2015
510,2015
511,2015
601,2015
602,2015
603,2015
604,2015
701,2015
702,2015
801,2015
101,2016
102,2016
103,2016
104,2016
105,2016
106,2016
107,2016
108,2016
109,2016
110,2016
111,2016
112,2016
113,2016
114,2016
115,2016
116,2016
117,2016
118,2016
119,2016
120,2016
121,2016
122,2016
123,2016
124,2016
125,2016
126,2016
127,2016
128,2016
201,2016
202,2016
203,2016
204,2016
205,2016
206,2016
207,2016
208,2016
209,2016
210,2016
211,2016
212,2016
213,2016
214,2016
215,2016
216,2016
217,2016
301,2016
302,2016
303,2016
304,2016
305,2016
306,2016
307,2016
308,2016
309,2016
310,2016
311,2016
312,2016
313,2016
314,2016
315,2016
316,2016
317,2016
318,2016
319,2016
401,2016
402,2016
403,2016
404,2016
405,2016
406,2016
407,2016
501,2016
502,2016
503,2016
504,2016
505,2016
506,2016
507,2016
509,2016
510,2016
511,2016
601,2016
602,2016
603,2016
604,2016
701,2016
702,2016
801,2016
101,2017
102,2017
103,2017
104,2017
105,2017
106,2017
107,2017
108,2017
109,2017
110,2017
111,2017
112,2017
113,2017
114,2017
115,2017
116,2017
117,2017
118,2017
119,2017
120,2017
121,2017
122,2017
123,2017
124,2017
125,2017
126,2017
127,2017
128,2017
201,2017
202,2017
203,2017
204,2017
205,2017
206,2017
207,2017
208,2017
209,2017
210,2017
211,2017
212,2017
213,2017
214,2017
215,2017
216,2017
217,2017
301,2017
302,2017
303,2017
304,2017
305,2017
306,2017
307,2017
308,2017
309,2017
310,2017
311,2017
312,2017
313,2017
314,2017
315,2017
316,2017
317,2017
318,2017
319,2017
401,2017
402,2017
403,2017
404,2017
405,2017
406,2017
407,2017
501,2017
502,2017
503,2017
504,2017
505,2017
506,2017
507,2017
509,2017
510,2017
511,2017
601,2017
602,2017
603,2017
604,2017
701,2017
702,2017
801,2017
101,2018
102,2018
103,2018
104,2018
105,2018
106,2018
107,2018
108,2018
109,2018
110,2018
111,2018
112,2018
113,2018
114,2018
115,2018
116,2018
117,2018
118,2018
119,2018
120,2018
121,2018
122,2018
123,2018
124,2018
125,2018
126,2018
127,2018
128,2018
201,2018
202,2018
203,2018
204,2018
205,2018
206,2018
207,2018
208,2018
209,2018
210,2018
211,2018
212,2018
213,2018
214,2018
215,2018
216,2018
217,2018
301,2018
302,2018
303,2018
304,2018
305,2018
306,2018
307,2018
308,2018
309,2018
310,2018
311,2018
312,2018
313,2018
314,2018
315,2018
316,2018
317,2018
318,2018
319,2018
401,2018
402,2018
403,2018
404,2018
405,2018
406,2018
407,2018
501,2018
502,2018
503,2018
504,2018
505,2018
506,2018
507,2018
509,2018
510,2018
511,2018
601,2018
602,2018
603,2018
604,2018
701,2018
702,2018
801,2018
101,2019
102,2019
103,2019
104,2019
105,2019
106,2019
107,2019
108,2019
109,2019
110,2019
111,2019
112,2019
113,2019
114,2019
115,2019
116,2019
117,2019
118,2019
119,2019
120,2019
121,2019
122,2019
123,2019
124,2019
125,2019
126,2019
127,2019
128,2019
201,2019
202,2019
203,2019
204,2019
205,2019
206,2019
207,2019
208,2019
209,2019
210,2019
211,2019
212,2019
213,2019
214,2019
215,2019
216,2019
217,2019
301,2019
302,2019
303,2019
304,2019
305,2019
306,2019
307,2019
308,2019
309,2019
310,2019
311,2019
312,2019
313,2019
314,2019
315,2019
316,2019
317,2019
318,2019
319,2019
401,2019
402,2019
403,2019
404,2019
405,2019
406,2019
407,2019
501,2019
502,2019
503,2019
504,2019
505,2019
506,2019
507,2019
509,2019
510,2019
511,2019
601,2019
602,2019
603,2019
604,2019
701,2019
702,2019
801,2019
